restaurant_id,restaurant_name,address,image_path_02
54,Long Island,"173 Long Thuận, P. Long Phước, Quận 9, TP. HCM",images/banh_canh_cua_gia_truyen__vinh_vien_105.jpg
55,Phúc Long 188 Trần Hưng Đạo,"188 Trần Hưng Đạo, P. 11, Quận 5, TP. HCM",images/banh_canh_cua_hoang_lan__vinh_vien_42.jpg
56,Quốc Ký - Phở & Mì Bò Viên,"24 Ký Con, Quận 1, TP. HCM",images/banh_canh_cua_hoang_lan__vinh_vien_51.jpg
57,Cơm Gà Hồng Phát - Tân Bình,"475 - 477 Hoàng Văn Thụ, P. 4, Quận Tân Bình, TP. HCM",images/banh_canh_cua_khai_trinh_91.jpg
58,Bánh Mì Tô - Bò Kho & Xíu Mại & Lagu Gà - Đường D5,"60 Đường D5, P. 25, Quận Bình Thạnh, TP. HCM",images/banh_canh_cua_khai_trinh_96.jpg
59,Hùng Mập - Bún Mọc & Bún Bò Huế,"772 Trần Hưng Đạo, P. 7, Quận 5, TP. HCM",images/banh_canh_cua_linh_139.jpg
60,Phở Thìn By Sol - Hải Triều,"27 Hải Triều, P. Bến Nghé, Quận 1, TP. HCM",images/banh_canh_cua_ut_thao__ho_tung_mau_574.jpg
61,Kowloon Bingsutt - Nhà Hàng Món Hoa,"74 -76 Bùi Hữu Nghĩa, P. 7, Quận 5, TP. HCM",images/banh_canh_cua__huynh_man_at_150.jpg
62,Sinh Tố 10,"76 Yên Thế, P. 2, Quận Tân Bình, TP. HCM",images/banh_canh_ghe_bay_lien_360.jpg
63,Bún Thịt Nướng Kiều Bảo - Đề Thám,"139 Đề Thám, P. Cô Giang, Quận 1, TP. HCM",images/banh_canh_ghe_muoi_ot_xanh__nguyen_tri_phuong_238.jpg
64,Quán No - Bún Đậu Mắm Tôm,"26/24/24 Đỗ Quang Đẩu, P. Phạm Ngũ Lão, Quận 1, TP. HCM",images/banh_canh_ghe_ngoc_lam__le_van_viet_107.jpg
65,Kebab Mặt Trời Mọc - Hương Vị Thổ Nhĩ Kỳ,"71E Ngô Tất Tố, P. 21, Quận Bình Thạnh, TP. HCM",images/banh_canh_ghe_ngoc_lam__le_van_viet_112.jpg
66,Texas Chicken - Hậu Giang,"176C-176D Hậu Giang, P. 6, Quận 6, TP. HCM",images/banh_canh_ghe__cau_bong_192.jpg
67,Trà Sữa O&B - Trà Sữa - Minh Phụng,"91 Minh Phụng P. 9, Quận 6, TP. HCM",images/banh_canh_gia_lai__dan_tri_702.jpg
68,Phở Quỳnh 8 - Chu Văn An,"150 Chu Văn An, P. 26, Quận Bình Thạnh, TP. HCM",images/banh_canh_nam_an_nhien__nam_ky_khoi_nghia_729.jpg
69,Lẩu Cá Cô Thư,"14 Chung Cư Trần Văn Kiểu, P. 14, Quận 10, TP. HCM",images/banh_cuon_430__le_quang_inh_606.jpg
70,Ốc Nhớ - Hiệp Bình,"32 Hiệp Bình, P. Hiệp Bình Phước, Tp. Thủ Đức, TP. HCM",images/banh_cuon_gao_lut__che_ngon_291.jpg
